,count,mean,std,min,5%,25%,50%,75%,95%,max
EPLR_PFS,51016.0,0.7997222440018817,0.16373875704490476,0.03,0.39,0.76,0.83,0.92,0.96,0.99
HBF_PFS,50968.0,0.2999066080678073,0.22225050342479863,0.0,0.03,0.13,0.26,0.42,0.76,0.99
LLEF_PFS,48494.0,0.5326836309646554,0.25297846935841645,0.0,0.06,0.35,0.58,0.73,0.9,0.99
LIF_PFS,50983.0,0.5067271443422317,0.2529970404519427,0.12,0.12,0.29,0.52,0.71,0.92,0.99
LMI_PFS,50934.0,0.5221624062512271,0.23681209521561966,0.0,0.11,0.34,0.54,0.7,0.91,0.99
MHVF_PFS,50757.0,0.27514135981243965,0.18605674265973526,0.0,0.03,0.13,0.23,0.4,0.64,0.99
PM25F_PFS,51031.0,0.5573133977386294,0.22554711354346108,0.03,0.1,0.38,0.66,0.71,0.8,0.91
HSEF,50997.0,0.16767064729297804,0.10103100138123913,0.0,0.06,0.11,0.14,0.2,0.38,0.74
P100_PFS,50983.0,0.5370011572484946,0.22198687534258402,0.0,0.16,0.38,0.54,0.71,0.89,0.99
P200_PFS,50983.0,0.5621840613537846,0.20450996152960293,0.0,0.22,0.42,0.57,0.71,0.9,0.99
LPF_PFS,51031.0,0.3984579961200055,0.18115667725746512,0.01,0.11,0.27,0.38,0.51,0.72,0.99
NPL_PFS,51031.0,0.2113662283709902,0.20599062335649426,0.0,0.02,0.06,0.14,0.27,0.68,0.99
RMP_PFS,51031.0,0.3388081754227822,0.2610556777523099,0.0,0.04,0.11,0.28,0.51,0.85,0.99
TSDF_PFS,51031.0,0.15467872469675295,0.1548007453982236,0.0,0.01,0.04,0.1,0.23,0.48,0.93
TPF,51031.0,4935.065254453176,2678.7519484686713,0.0,1860.0,3154.0,4552.0,6055.0,9280.0,51536.0
TF_PFS,46738.0,0.21153001840044502,0.19100776252858173,0.0,0.02,0.08,0.16,0.28,0.63,0.99
UF_PFS,51008.0,0.46504665934755335,0.2827532022785312,0.0,0.02,0.22,0.48,0.71,0.91,0.99
WF_PFS,45842.0,0.386394354522054,0.21998074896580125,0.0,0.05,0.22,0.36,0.54,0.79,0.97
M_WTR,51031.0,0.004232721287060807,0.06492216841899293,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_WKFC,51031.0,0.128568909094472,0.33472546998888836,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_CLT,51031.0,0.18761145186259331,0.3904054068960081,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_ENY,51031.0,0.08992573141815759,0.28607813266974846,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_TRN,51031.0,0.0064274656581293724,0.07991419453652271,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_HSG,51031.0,0.018988457996120006,0.13648538931765927,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_PLN,51031.0,0.030706825263075384,0.172523909671794,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_HLTH,51031.0,0.18651407967705905,0.3895247759016438,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SM_C,51031.0,0.3216280300209676,0.4671056796030405,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SM_PFS,51031.0,0.3216280300209676,0.4671056796030405,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EPLRLI,51031.0,0.09243401069937882,0.28964048111347945,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EALRLI,51031.0,0.0724853520409163,0.25929238952340844,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBLRLI,51031.0,0.08972977209931218,0.2857970270889322,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PM25LI,51031.0,0.006153122611745801,0.07820090492104641,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EBLI,51031.0,0.08516391997021418,0.27912820257833487,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DPMLI,51031.0,0.00152848268699418,0.03906630689631711,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TPLI,51031.0,0.005408477200133252,0.07334392263516118,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LPMHVLI,51031.0,0.004271913150829888,0.06522075793030402,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HBLI,51031.0,0.015167251278634556,0.12221905940354834,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RMPLI,51031.0,0.025004409084674023,0.1561398935355136,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SFLI,51031.0,0.0077012012306245225,0.08741877649094565,0.0,0.0,0.0,0.0,0.0,0.0,1.0
