,count,mean,std,min,5%,25%,50%,75%,95%,max
pr_5D_min,51033.0,0.006540865714341702,0.1505474580789871,0.0,0.0,0.0,0.0,0.0,0.0,15.3
pr_5D_max,51033.0,6.370426978621676,14.84697217811561,0.0,0.0,0.0,0.3,6.3,31.8,518.3
tmmn_5D_max,51033.0,289.8724374424392,7.558919362185242,263.6,275.6,284.3,291.8,296.5,298.6,302.9
tmmx_5D_max,51033.0,303.9763897870006,6.310520528909643,272.3,292.9,299.2,305.1,309.2,312.3,317.5
rmin_5D_min,51033.0,24.307642113926285,10.98931423817929,1.0,6.7,16.5,23.6,31.6,43.6,84.3
rmax_5D_min,51033.0,71.93136678584446,15.708846952986358,13.8,43.0,61.8,73.5,83.8,95.1,100.0
sph_5D_min,51033.0,0.00798343369373229,0.004998505416226661,0.00061,0.00186,0.00335,0.00695,0.012399999,0.016379999,0.02398
vs_5D_max,51033.0,5.820476946289656,1.4592504147100003,0.9,3.6,4.7,5.7,6.8,8.4,13.7
th_5D_max,51033.0,212.02890286677248,76.71713970412468,3.0,85.0,161.0,203.0,273.0,339.0,360.0
srad_5D_max,51033.0,249.4915319679815,74.29477674132615,46.9,133.8,180.5,256.2,317.1,350.7,396.1
etr_5D_max,51033.0,8.867889404894871,2.929275723127844,0.6,4.4,6.7,8.7,10.9,14.0,20.2
fm100_5D_min,51033.0,12.077567456351773,2.9481963899569386,2.7,7.3,10.0,12.1,14.2,16.8,22.6
fm1000_5D_min,51033.0,15.135582858150608,2.8782824085096577,4.2,10.3,13.1,15.3,17.1,19.6,27.1
bi_5D_max,51033.0,46.30497913115043,13.904324857446086,0.0,28.0,37.0,44.0,53.0,71.0,139.0
vpd_5D_max,51033.0,1.7531281719671585,0.7283198718711492,0.0,0.79,1.2,1.62,2.22,3.09,5.47
erc_5D_max,51033.0,43.233064879587715,12.656168155477635,1.0,26.0,34.0,41.0,51.0,66.0,106.0
NDVI-1day,50086.0,0.38724054626043203,0.20555485049936087,-0.13,0.02,0.24,0.4,0.54,0.71,1.26
CheatGrass,34191.0,29.77578895030856,81.75229838874526,0.0,0.0,0.0,0.0,0.0,255.0,255.0
ExoticAnnualGrass,34191.0,29.84598286098681,81.73189553506681,0.0,0.0,0.0,0.0,0.0,255.0,255.0
Medusahead,34191.0,29.70939720979205,81.77302899224615,0.0,0.0,0.0,0.0,0.0,255.0,255.0
PoaSecunda,34191.0,29.701266415138488,81.77584281691395,0.0,0.0,0.0,0.0,0.0,255.0,255.0
geometry,0.0,,,,,,,,,
source_year,51033.0,2016.5634197480063,1.8064186822517696,2014.0,2014.0,2015.0,2017.0,2018.0,2020.0,2020.0
large_fire,51033.0,0.03331177865302843,0.17945120527283262,0.0,0.0,0.0,0.0,0.0,0.0,1.0
