========================================================================
  Texas Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 51,033
  Columns        : 310
  Large fires    : 1,700  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,333  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  DPMLI                                          float64              3         2     0.0%
  TPLI                                           float64              3         2     0.0%
  LPMHVLI                                        float64              3         2     0.0%
  HBLI                                           float64              3         2     0.0%
  RMPLI                                          float64              3         2     0.0%
  SFLI                                           float64              3         2     0.0%
  HWLI                                           float64              3         2     0.0%
  WDLI                                           float64              3         2     0.0%
  DLI                                            float64              3         2     0.0%
  ALI                                            float64              3         2     0.0%
  HDLI                                           float64              3         2     0.0%
  LLELI                                          float64              3         2     0.0%
  LILHSE                                         float64              3         2     0.0%
  PLHSE                                          float64              3         2     0.0%
  LMILHSE                                        float64              3         2     0.0%
  ULHSE                                          float64              3         2     0.0%
  EPL_ET                                         float64              3         2     0.0%
  EAL_ET                                         float64              3         2     0.0%
  EBL_ET                                         float64              3         2     0.0%
  EB_ET                                          float64              3         2     0.0%
  PM25_ET                                        float64              3         2     0.0%
  DS_ET                                          float64              3         2     0.0%
  TP_ET                                          float64              3         2     0.0%
  LPP_ET                                         float64              3         2     0.0%
  HB_ET                                          float64              3         2     0.0%
  RMP_ET                                         float64              3         2     0.0%
  NPL_ET                                         float64              3         2     0.0%
  TSDF_ET                                        float64              3         2     0.0%
  WD_ET                                          float64              3         2     0.0%
  DB_ET                                          float64              3         2     0.0%
  A_ET                                           float64              3         2     0.0%
  HD_ET                                          float64              3         2     0.0%
  LLE_ET                                         float64              3         2     0.0%
  UN_ET                                          float64              3         2     0.0%
  LISO_ET                                        float64              3         2     0.0%
  POV_ET                                         float64              3         2     0.0%
  LMI_ET                                         float64              3         2     0.0%
  IA_LMI_ET                                      float64              2         2     0.0%
  IA_UN_ET                                       float64              2         2     0.0%
  IA_POV_ET                                      float64              2         2     0.0%
  TC                                             float64             14         2     0.0%
  CC                                             float64              9         2     0.0%
  IAULHSE                                        float64              2         2     0.0%
  IAPLHSE                                        float64              2         2     0.0%
  IALMILHSE                                      float64              2         2     0.0%
  IALMIL_87                                      float64              1    51,033   100.0%
  IAPLHS_88                                      float64              1    51,033   100.0%
  IAULHS_89                                      float64              1    51,033   100.0%
  LHE                                            float64              3         2     0.0%
