Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
M_WTR_EOMI,50879,50879,0.051829,0.0,0.221684,0.049144,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.043501,14.350464,2637,5.1829,0,True,True,,,
NPL_ET,50879,50879,0.053185,0.0,0.224404,0.050357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.982386,13.859944,2706,5.3185,0,True,True,,,
M_TRN_EOMI,50879,50879,0.053814,0.0,0.225652,0.050919,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.954787,13.640875,2738,5.3814,0,True,True,,,
Popo_1km,50868,50868,4.312466,0.4004,7.936654,62.99047,0.0,0.0,0.0183,5.1822,20.593925,117.625,5.1639,2.932009,13.268603,2516,4.9461,0,True,True,,,
HBLI,50879,50879,0.058472,0.0,0.234636,0.055054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.763658,12.165602,2975,5.8472,0,True,True,,,
M_HSG,50879,50879,0.059573,0.0,0.236696,0.056025,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.721609,11.850838,3031,5.9573,0,True,True,,,
road_common_name_dis,33061,33061,30.519174,35.1,14.04219,197.183097,0.1,2.5,23.6,39.7,47.7,269.8,16.1,0.000113,11.712328,5,0.0151,0,False,True,,,
HB_ET,50879,50879,0.062678,0.0,0.242385,0.058751,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.608624,11.022602,3189,6.2678,0,True,True,,,
M_PLN,50879,50879,0.064349,0.0,0.245376,0.060209,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.551033,10.610253,3274,6.4349,0,True,True,,,
M_HSG_EOMI,50879,50879,0.065017,0.0,0.246558,0.060791,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.528578,10.451276,3308,6.5017,0,True,True,,,
RMP_ET,50879,50879,0.065351,0.0,0.247147,0.061082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.517471,10.373013,3325,6.5351,0,True,True,,,
HDLI,50879,50879,0.065685,0.0,0.247734,0.061372,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.506443,10.29555,3342,6.5685,0,True,True,,,
EBLI,50879,50879,0.073999,0.0,0.261772,0.068525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.254876,8.594554,3765,7.3999,0,True,True,,,
TRACT,50837,50837,87424.16425,10102.0,209882.812622,44050795034.09277,100.0,120.0,1301.0,42412.0,553901.0,990000.0,41111.0,3.050088,8.575168,6388,12.5657,0,True,True,,,
TPI_1km,50881,50881,-0.005988,0.0,0.042685,0.001822,-0.55,-0.08,-0.02,0.0,0.06,0.45,0.02,-0.129306,8.172469,4401,8.6496,0,False,True,,,
No_FireStation_5.0km,38805,38805,3.93756,3.0,3.523127,12.412424,1.0,1.0,1.0,5.0,11.0,41.0,4.0,2.207854,7.91872,243,0.6262,0,True,True,,,
GAP_Sts,50880,50880,3.739171,4.0,0.635987,0.40448,1.0,2.0,4.0,4.0,4.0,4.0,0.0,-2.808637,7.906661,9250,18.18,0,True,True,,,
GACC_Type 1 IMTs,50781,50781,0.570331,0.0,1.03972,1.081017,0.0,0.0,0.0,1.0,3.0,7.0,1.0,2.513236,7.602575,620,1.2209,0,True,True,,,
EPL_ET,50879,50879,0.081645,0.0,0.273825,0.07498,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.055757,7.337937,4154,8.1645,0,True,True,,,
EVT,50881,50881,7425.165641,7299.0,530.766294,281712.85849,7008.0,7028.0,7299.0,7299.0,9153.0,9829.0,0.0,2.843596,7.311086,18851,37.0492,0,True,True,,,
PLHSE,50879,50879,0.082293,0.0,0.274814,0.075523,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.040046,7.242162,4187,8.2293,0,True,True,,,
HD_ET,50879,50879,0.083099,0.0,0.276035,0.076195,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.02076,7.125271,4228,8.3099,0,True,True,,,
