Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
LMILHSE,50879,50879,0.085025,0.0,0.278922,0.077797,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.975678,6.854929,4326,8.5025,0,True,False,,,
POV_ET,50879,50879,0.08475,0.0,0.278512,0.077569,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.982033,6.89279,4312,8.475,0,True,False,,,
HD_ET,50879,50879,0.083099,0.0,0.276035,0.076195,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.02076,7.125271,4228,8.3099,0,True,True,,,
PLHSE,50879,50879,0.082293,0.0,0.274814,0.075523,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.040046,7.242162,4187,8.2293,0,True,True,,,
EPL_ET,50879,50879,0.081645,0.0,0.273825,0.07498,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.055757,7.337937,4154,8.1645,0,True,True,,,
EBLI,50879,50879,0.073999,0.0,0.261772,0.068525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.254876,8.594554,3765,7.3999,0,True,True,,,
GACC_New LF,50781,50781,1.63382,0.0,4.644422,21.570655,0.0,0.0,0.0,1.0,8.0,79.0,1.0,8.029531,94.85537,3530,6.9514,0,True,True,,,
HDLI,50879,50879,0.065685,0.0,0.247734,0.061372,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.506443,10.29555,3342,6.5685,0,True,True,,,
RMP_ET,50879,50879,0.065351,0.0,0.247147,0.061082,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.517471,10.373013,3325,6.5351,0,True,True,,,
pr_Normal,50881,50881,0.738141,0.24,1.322471,1.748931,0.0,0.0,0.06,0.75,3.38,13.34,0.69,3.478793,15.117711,3316,6.5172,0,True,True,,,
M_HSG_EOMI,50879,50879,0.065017,0.0,0.246558,0.060791,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.528578,10.451276,3308,6.5017,0,True,True,,,
M_PLN,50879,50879,0.064349,0.0,0.245376,0.060209,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.551033,10.610253,3274,6.4349,0,True,True,,,
TPI,50881,50881,-0.032836,0.0,1.402197,1.966155,-15.25,-2.0,-0.375,0.375,2.0,40.5,0.75,0.662382,25.90421,3243,6.3737,0,False,True,,,
HB_ET,50879,50879,0.062678,0.0,0.242385,0.058751,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.608624,11.022602,3189,6.2678,0,True,True,,,
No_FireStation_1.0km,8121,8121,1.063293,1.0,0.253902,0.064466,1.0,1.0,1.0,1.0,2.0,4.0,0.0,4.098122,17.562373,494,6.083,0,True,True,,,
M_HSG,50879,50879,0.059573,0.0,0.236696,0.056025,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.721609,11.850838,3031,5.9573,0,True,True,,,
HBLI,50879,50879,0.058472,0.0,0.234636,0.055054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.763658,12.165602,2975,5.8472,0,True,True,,,
M_TRN_EOMI,50879,50879,0.053814,0.0,0.225652,0.050919,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.954787,13.640875,2738,5.3814,0,True,True,,,
NPL_ET,50879,50879,0.053185,0.0,0.224404,0.050357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.982386,13.859944,2706,5.3185,0,True,True,,,
M_WTR_EOMI,50879,50879,0.051829,0.0,0.221684,0.049144,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.043501,14.350464,2637,5.1829,0,True,True,,,
WD_ET,50879,50879,0.051829,0.0,0.221684,0.049144,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.043501,14.350464,2637,5.1829,0,True,True,,,
Popo_1km,50868,50868,4.312466,0.4004,7.936654,62.99047,0.0,0.0,0.0183,5.1822,20.593925,117.625,5.1639,2.932009,13.268603,2516,4.9461,0,True,True,,,
TP_ET,50879,50879,0.048527,0.0,0.214879,0.046173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.202282,15.659787,2469,4.8527,0,True,True,,,
RMPLI,50879,50879,0.044871,0.0,0.207023,0.042859,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.397061,17.334828,2283,4.4871,0,True,True,,,
GACC_NIMO Teams,50781,50781,0.035368,0.0,0.189757,0.036008,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.527382,32.892658,1753,3.4521,0,True,True,,,
DB_ET,50879,50879,0.033668,0.0,0.180375,0.032535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.170891,24.739083,1713,3.3668,0,True,True,,,
A_ET,50879,50879,0.033157,0.0,0.179048,0.032058,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.214916,25.196343,1687,3.3157,0,True,True,,,
ALI,50879,50879,0.032587,0.0,0.177555,0.031526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.265196,25.723303,1658,3.2587,0,True,True,,,
LLE_ET,50879,50879,0.032273,0.0,0.176725,0.031232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.293486,26.022017,1642,3.2273,0,True,True,,,
GACC_Uncont LF,50781,50781,2.639038,2.0,3.794929,14.401488,0.0,0.0,1.0,3.0,8.0,37.0,2.0,4.58817,28.829029,1631,3.2118,0,True,True,,,
DLI,50879,50879,0.031899,0.0,0.175733,0.030882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.327604,26.384398,1623,3.1899,0,True,True,,,
SFLI,50879,50879,0.029069,0.0,0.168002,0.028225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.606491,29.433896,1479,2.9069,0,True,True,,,
TSDF_ET,50879,50879,0.028086,0.0,0.165221,0.027298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.712744,30.636645,1429,2.8086,0,True,True,,,
LLELI,50879,50879,0.027831,0.0,0.164489,0.027057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.74126,30.963285,1416,2.7831,0,True,True,,,
M_TRN,50879,50879,0.026219,0.0,0.159788,0.025532,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.930361,33.170483,1334,2.6219,0,True,True,,,
