Column,Missing Count,Missing %,Present Count,Present %,Tier
EPL_NOHSDP,44,0.0865,50837,99.9135,Minimal (<25%)
EPL_MUNIT,44,0.0865,50837,99.9135,Minimal (<25%)
EPL_MOBILE,44,0.0865,50837,99.9135,Minimal (<25%)
P100_PFS,40,0.0786,50841,99.9214,Minimal (<25%)
P200_PFS,40,0.0786,50841,99.9214,Minimal (<25%)
UF_PFS,39,0.0766,50842,99.9234,Minimal (<25%)
AF_PFS,34,0.0668,50847,99.9332,Minimal (<25%)
DF_PFS,34,0.0668,50847,99.9332,Minimal (<25%)
HDF_PFS,34,0.0668,50847,99.9332,Minimal (<25%)
NCA,25,0.0491,50856,99.9509,Minimal (<25%)
CA,25,0.0491,50856,99.9509,Minimal (<25%)
HSEF,25,0.0491,50856,99.9509,Minimal (<25%)
DSF_PFS,14,0.0275,50867,99.9725,Minimal (<25%)
Popo_1km,13,0.0255,50868,99.9745,Minimal (<25%)
EPLR_PFS,11,0.0216,50870,99.9784,Minimal (<25%)
EBLR_PFS,9,0.0177,50872,99.9823,Minimal (<25%)
EALR_PFS,9,0.0177,50872,99.9823,Minimal (<25%)
fm100_Percentile,7,0.0138,50874,99.9862,Minimal (<25%)
PM25F_PFS,6,0.0118,50875,99.9882,Minimal (<25%)
GDP,3,0.0059,50878,99.9941,Minimal (<25%)
NPL_ET,2,0.0039,50879,99.9961,Minimal (<25%)
IA_POV_ET,2,0.0039,50879,99.9961,Minimal (<25%)
IAPLHSE,2,0.0039,50879,99.9961,Minimal (<25%)
IAULHSE,2,0.0039,50879,99.9961,Minimal (<25%)
CC,2,0.0039,50879,99.9961,Minimal (<25%)
TC,2,0.0039,50879,99.9961,Minimal (<25%)
A_ET,2,0.0039,50879,99.9961,Minimal (<25%)
IA_UN_ET,2,0.0039,50879,99.9961,Minimal (<25%)
IA_LMI_ET,2,0.0039,50879,99.9961,Minimal (<25%)
LMI_ET,2,0.0039,50879,99.9961,Minimal (<25%)
POV_ET,2,0.0039,50879,99.9961,Minimal (<25%)
LISO_ET,2,0.0039,50879,99.9961,Minimal (<25%)
UN_ET,2,0.0039,50879,99.9961,Minimal (<25%)
LLE_ET,2,0.0039,50879,99.9961,Minimal (<25%)
IALMILHSE,2,0.0039,50879,99.9961,Minimal (<25%)
DB_ET,2,0.0039,50879,99.9961,Minimal (<25%)
WD_ET,2,0.0039,50879,99.9961,Minimal (<25%)
TSDF_ET,2,0.0039,50879,99.9961,Minimal (<25%)
HD_ET,2,0.0039,50879,99.9961,Minimal (<25%)
LHE,2,0.0039,50879,99.9961,Minimal (<25%)
IALHE,2,0.0039,50879,99.9961,Minimal (<25%)
HB_ET,2,0.0039,50879,99.9961,Minimal (<25%)
THRHLD,2,0.0039,50879,99.9961,Minimal (<25%)
UI_EXP,2,0.0039,50879,99.9961,Minimal (<25%)
M_EBSI,2,0.0039,50879,99.9961,Minimal (<25%)
M_WKFC_105,2,0.0039,50879,99.9961,Minimal (<25%)
FPL200S,2,0.0039,50879,99.9961,Minimal (<25%)
M_WKFC_103,2,0.0039,50879,99.9961,Minimal (<25%)
M_HLTH_102,2,0.0039,50879,99.9961,Minimal (<25%)
M_WTR_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
M_PLN_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
M_HSG_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
M_TRN_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
M_ENY_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
M_CLT_EOMI,2,0.0039,50879,99.9961,Minimal (<25%)
CA_LT20,2,0.0039,50879,99.9961,Minimal (<25%)
RMP_ET,2,0.0039,50879,99.9961,Minimal (<25%)
DPMLI,2,0.0039,50879,99.9961,Minimal (<25%)
LPP_ET,2,0.0039,50879,99.9961,Minimal (<25%)
TPLI,2,0.0039,50879,99.9961,Minimal (<25%)
PM25LI,2,0.0039,50879,99.9961,Minimal (<25%)
EBLRLI,2,0.0039,50879,99.9961,Minimal (<25%)
EALRLI,2,0.0039,50879,99.9961,Minimal (<25%)
EPLRLI,2,0.0039,50879,99.9961,Minimal (<25%)
SM_PFS,2,0.0039,50879,99.9961,Minimal (<25%)
SM_C,2,0.0039,50879,99.9961,Minimal (<25%)
M_HLTH,2,0.0039,50879,99.9961,Minimal (<25%)
M_PLN,2,0.0039,50879,99.9961,Minimal (<25%)
M_HSG,2,0.0039,50879,99.9961,Minimal (<25%)
M_ENY,2,0.0039,50879,99.9961,Minimal (<25%)
M_CLT,2,0.0039,50879,99.9961,Minimal (<25%)
M_WKFC,2,0.0039,50879,99.9961,Minimal (<25%)
