Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
erc_Percentile,object,Categorical,>90%,6,45,0.0884,No description available
NDVI-1day,float64,Numeric,0.25,113,1186,2.3309,Vegetation index
NDVI_min,object,Text,'-0.02' '-0.07' '-0.04' '0.07' '-0.01' '-0.01' '0.08' '-0.06' '0.01' '-0.02' ...,38690,0,0.0,Vegetation index
NDVI_max,object,Text,'0.47' '0.48' '0.49' '0.49' '0.52' '0.47' '0.55' '0.49' '0.56' '0.53' '0.5' '...,38691,0,0.0,Vegetation index
NDVI_mean,object,Text,'0.26' '0.25' '0.32' '0.32' '0.35' '0.29' '0.36' '0.3' '0.32' '0.29' '0.33' '...,38691,0,0.0,Vegetation index
CheatGrass,float64,Numeric,0.0,43,13847,27.2145,No description available
ExoticAnnualGrass,float64,Numeric,1.0,51,13847,27.2145,No description available
Medusahead,float64,Numeric,0.0,27,13847,27.2145,No description available
PoaSecunda,float64,Numeric,0.0,20,13847,27.2145,No description available
geometry,float64,Numeric,N/A,0,50881,100.0,GIS geometry (WKT/WKB) — typically empty in tabular exports
source_year,int64,Numeric,2014,7,0,0.0,No description available
