Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
M_WTR,51031,51031,0.004233,0.0,0.064922,0.004215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.273264,231.281658,216,0.4233,0,True,True,,,
M_WKFC,51031,51031,0.128569,0.0,0.334725,0.112041,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.219405,2.925872,6561,12.8569,0,True,False,,,
M_CLT,51031,51031,0.187611,0.0,0.390405,0.152416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.600392,0.561276,9574,18.7611,0,False,False,,,
M_ENY,51031,51031,0.089926,0.0,0.286078,0.081841,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.866981,6.219826,4589,8.9926,0,True,False,,,
M_TRN,51031,51031,0.006427,0.0,0.079914,0.006386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.353046,150.603659,328,0.6427,0,True,True,,,
M_HSG,51031,51031,0.018988,0.0,0.136485,0.018628,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.048819,47.687717,969,1.8988,0,True,True,,,
M_PLN,51031,51031,0.030707,0.0,0.172524,0.029764,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.440539,27.600551,1567,3.0707,0,True,True,,,
M_HLTH,51031,51031,0.186514,0.0,0.389525,0.15173,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.609645,0.590979,9518,18.6514,0,False,False,,,
SM_C,51031,51031,0.321628,0.0,0.467106,0.218188,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.763763,-1.416722,0,0.0,0,False,False,,,
SM_PFS,51031,51031,0.321628,0.0,0.467106,0.218188,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.763763,-1.416722,0,0.0,0,False,False,,,
EPLRLI,51031,51031,0.092434,0.0,0.28964,0.083892,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.814399,5.921075,4717,9.2434,0,True,False,,,
EALRLI,51031,51031,0.072485,0.0,0.259292,0.067233,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.297678,8.875028,3699,7.2485,0,True,True,,,
EBLRLI,51031,51031,0.08973,0.0,0.285797,0.08168,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.871173,6.243877,4579,8.973,0,True,False,,,
PM25LI,51031,51031,0.006153,0.0,0.078201,0.006115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.630704,157.540852,314,0.6153,0,True,True,,,
EBLI,51031,51031,0.085164,0.0,0.279128,0.077913,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.972486,6.835941,4346,8.5164,0,True,False,,,
DPMLI,51031,51031,0.001528,0.0,0.039066,0.001526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.520255,649.308855,78,0.1528,0,True,True,,,
TPLI,51031,51031,0.005408,0.0,0.073344,0.005379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.487441,179.918111,276,0.5408,0,True,True,,,
LPMHVLI,51031,51031,0.004272,0.0,0.065221,0.004254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.202139,229.114012,218,0.4272,0,True,True,,,
HBLI,51031,51031,0.015167,0.0,0.122219,0.014937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.934143,60.953015,774,1.5167,0,True,True,,,
RMPLI,51031,51031,0.025004,0.0,0.15614,0.02438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.084469,35.022141,1276,2.5004,0,True,True,,,
SFLI,51031,51031,0.007701,0.0,0.087419,0.007642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.26344,124.869986,393,0.7701,0,True,True,,,
HWLI,51031,51031,2e-05,0.0,0.004427,2e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.900421,51031.0,1,0.002,0,True,True,,,
WDLI,51031,51031,0.004233,0.0,0.064922,0.004215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.273264,231.281658,216,0.4233,0,True,True,,,
DLI,51031,51031,0.121965,0.0,0.327249,0.107092,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.310474,3.33842,6224,12.1965,0,True,False,,,
ALI,51031,51031,0.0068,0.0,0.082181,0.006754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.003279,142.084285,347,0.68,0,True,True,,,
HDLI,51031,51031,0.107229,0.0,0.309407,0.095733,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.538962,4.446502,5472,10.7229,0,True,False,,,
LLELI,51031,51031,0.043366,0.0,0.203681,0.041486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.483989,18.106871,2213,4.3366,0,True,True,,,
LILHSE,51031,51031,0.064353,0.0,0.245383,0.060213,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.550887,10.609218,3284,6.4353,0,True,True,,,
PLHSE,51031,51031,0.039799,0.0,0.195489,0.038216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.708375,20.169589,2031,3.9799,0,True,True,,,
LMILHSE,51031,51031,0.053027,0.0,0.224089,0.050216,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.98941,13.91594,2706,5.3027,0,True,True,,,
ULHSE,51031,51031,0.055848,0.0,0.229631,0.05273,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.868546,12.966154,2850,5.5848,0,True,True,,,
EPL_ET,51031,51031,0.321217,0.0,0.466948,0.218041,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.765783,-1.413632,0,0.0,0,False,False,,,
EAL_ET,51031,51031,0.205248,0.0,0.403887,0.163124,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.459636,0.130544,10474,20.5248,0,False,False,,,
EBL_ET,51031,51031,0.339852,0.0,0.473663,0.224357,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.676235,-1.542766,0,0.0,0,False,False,,,
EB_ET,51031,51031,0.119672,0.0,0.324581,0.105353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.34359,3.492549,6107,11.9672,0,True,False,,,
PM25_ET,51031,51031,0.007603,0.0,0.086865,0.007546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.337478,126.543373,388,0.7603,0,True,True,,,
DS_ET,51031,51031,0.00341,0.0,0.058294,0.003398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.038254,288.313396,174,0.341,0,True,True,,,
TP_ET,51031,51031,0.00923,0.0,0.095628,0.009145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.264579,103.365633,471,0.923,0,True,True,,,
LPP_ET,51031,51031,0.005546,0.0,0.074263,0.005515,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.316815,175.344429,283,0.5546,0,True,True,,,
HB_ET,51031,51031,0.018185,0.0,0.133621,0.017855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.211926,50.013841,928,1.8185,0,True,True,,,
RMP_ET,51031,51031,0.033372,0.0,0.179607,0.032259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.196294,25.002446,1703,3.3372,0,True,True,,,
