Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
EB_ET,51031,51031,0.119672,0.0,0.324581,0.105353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.34359,3.492549,6107,11.9672,0,True,False,,,
FIRE_SIZE,51033,51033,43.03084,1.0,1645.502225,2707677.570957,0.01,0.02,0.5,4.0,50.0,318156.0,3.5,155.645016,28370.548517,5995,11.7473,0,True,True,,,
No_FireStation_5.0km,32001,32001,2.384769,1.0,2.546844,6.486417,1.0,1.0,1.0,2.0,8.0,17.0,1.0,2.4271,5.903663,3506,10.9559,0,True,False,,,
HDLI,51031,51031,0.107229,0.0,0.309407,0.095733,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.538962,4.446502,5472,10.7229,0,True,False,,,
EPLRLI,51031,51031,0.092434,0.0,0.28964,0.083892,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.814399,5.921075,4717,9.2434,0,True,False,,,
M_ENY,51031,51031,0.089926,0.0,0.286078,0.081841,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.866981,6.219826,4589,8.9926,0,True,False,,,
EBLRLI,51031,51031,0.08973,0.0,0.285797,0.08168,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.871173,6.243877,4579,8.973,0,True,False,,,
EBLI,51031,51031,0.085164,0.0,0.279128,0.077913,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.972486,6.835941,4346,8.5164,0,True,False,,,
pr_5D_mean,51033,51033,1.57467,0.06,3.826598,14.642851,0.0,0.0,0.0,1.5,7.92,213.72,1.5,9.093269,253.964872,3959,7.7577,0,True,True,,,
pr_5D_max,51033,51033,6.370427,0.3,14.846972,220.432583,0.0,0.0,0.0,6.3,31.8,518.3,6.3,7.132044,115.382937,3854,7.552,0,True,True,,,
EALRLI,51031,51031,0.072485,0.0,0.259292,0.067233,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.297678,8.875028,3699,7.2485,0,True,True,,,
No_FireStation_20.0km,50935,50935,34.283126,25.0,40.165622,1613.277222,1.0,4.0,14.0,37.0,142.0,251.0,23.0,3.021278,9.366289,3363,6.6025,0,True,True,,,
Elevation,51033,51033,277.100837,160.0,287.01753,82379.06261,0.0,30.0,108.0,319.0,1013.4,2471.0,211.0,1.960349,3.512945,3349,6.5624,0,False,False,,,
LISO_ET,51031,51031,0.064529,0.0,0.245696,0.060367,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.54493,10.566945,3293,6.4529,0,True,True,,,
Elevation_1km,51033,51033,220.424121,126.793939,229.261764,52560.956577,-0.766988,23.480812,84.620746,254.137282,809.125467,1865.920513,169.516536,1.952153,3.432472,3289,6.4448,0,False,False,,,
LILHSE,51031,51031,0.064353,0.0,0.245383,0.060213,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.550887,10.609218,3284,6.4353,0,True,True,,,
No_FireStation_10.0km,48893,48893,8.608308,5.0,11.774525,138.639444,1.0,1.0,3.0,9.0,39.4,70.0,6.0,3.019104,9.189988,3071,6.2811,0,True,True,,,
UN_ET,51031,51031,0.060003,0.0,0.237494,0.056404,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.705475,11.731004,3062,6.0003,0,True,True,,,
ULHSE,51031,51031,0.055848,0.0,0.229631,0.05273,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.868546,12.966154,2850,5.5848,0,True,True,,,
LMI_ET,51031,51031,0.055574,0.0,0.2291,0.052487,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.879914,13.054247,2836,5.5574,0,True,True,,,
TC,51031,51031,0.901687,0.0,1.720254,2.959274,0.0,0.0,0.0,1.0,5.0,12.0,1.0,2.366526,5.896955,2775,5.4379,0,True,False,,,
LMILHSE,51031,51031,0.053027,0.0,0.224089,0.050216,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.98941,13.91594,2706,5.3027,0,True,True,,,
GACC_New fire,50848,50848,171.208976,37.0,265.584824,70535.29863,0.0,2.0,11.0,207.0,841.0,1144.0,196.0,1.88859,2.680069,2643,5.1978,0,False,False,,,
GACC_New LF,50848,50848,5.355924,2.0,10.022158,100.443654,0.0,0.0,0.0,5.0,21.0,79.0,5.0,3.897776,20.502679,2607,5.127,0,True,True,,,
