Month,Fire Count,Month Name,% of Total
1,5582,Jan,10.94
2,4817,Feb,9.44
3,4727,Mar,9.26
4,3024,Apr,5.93
5,3428,May,6.72
6,4104,Jun,8.04
7,6526,Jul,12.79
8,6015,Aug,11.79
9,4102,Sep,8.04
10,4032,Oct,7.9
11,2476,Nov,4.85
12,2200,Dec,4.31
