Column,Count Non-Null,Count Finite,Mean,Median,Std,Variance,Min,P5,Q1 (25%),Q3 (75%),P95,Max,IQR,Skewness,Kurtosis (excess),Outlier Count (IQR),Outlier %,Infinite Count,Highly Skewed,Heavy Tailed,Q1,Q3,Kurtosis
WDLI,51031,51031,0.004233,0.0,0.064922,0.004215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.273264,231.281658,216,0.4233,0,True,True,,,
LPMHVLI,51031,51031,0.004272,0.0,0.065221,0.004254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.202139,229.114012,218,0.4272,0,True,True,,,
TPLI,51031,51031,0.005408,0.0,0.073344,0.005379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.487441,179.918111,276,0.5408,0,True,True,,,
LPP_ET,51031,51031,0.005546,0.0,0.074263,0.005515,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.316815,175.344429,283,0.5546,0,True,True,,,
PM25LI,51031,51031,0.006153,0.0,0.078201,0.006115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.630704,157.540852,314,0.6153,0,True,True,,,
M_TRN,51031,51031,0.006427,0.0,0.079914,0.006386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.353046,150.603659,328,0.6427,0,True,True,,,
ALI,51031,51031,0.0068,0.0,0.082181,0.006754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.003279,142.084285,347,0.68,0,True,True,,,
A_ET,51031,51031,0.00727,0.0,0.084955,0.007217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.60022,132.570295,371,0.727,0,True,True,,,
PM25_ET,51031,51031,0.007603,0.0,0.086865,0.007546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.337478,126.543373,388,0.7603,0,True,True,,,
SFLI,51031,51031,0.007701,0.0,0.087419,0.007642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.26344,124.869986,393,0.7701,0,True,True,,,
pr,51033,51033,1.280272,0.0,6.103159,37.248547,0.0,0.0,0.0,0.0,7.3,275.300018,0.0,10.802271,230.853418,7261,14.228,0,True,True,,,
GAP_Sts,51031,51031,3.977661,4.0,0.211956,0.044925,1.0,4.0,4.0,4.0,4.0,4.0,0.0,-10.796109,125.82406,672,1.3168,0,True,True,,,
TP_ET,51031,51031,0.00923,0.0,0.095628,0.009145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.264579,103.365633,471,0.923,0,True,True,,,
