,count,mean,std,min,5%,25%,50%,75%,95%,max
pr_5D_max,50881.0,1.640626166938543,5.879351412164319,0.0,0.0,0.0,0.0,0.0,9.6,132.4
tmmn_5D_max,50881.0,287.53614315756374,5.246725679919155,258.0,278.4,284.3,287.7,291.2,295.7,306.6
tmmx_5D_max,50881.0,304.3174524871759,6.66708633043021,274.8,292.3,299.9,305.0,309.4,313.8,323.2
rmin_5D_min,50881.0,18.2300819559364,10.873674354031055,1.0,3.7,10.8,16.4,23.4,39.6,93.4
rmax_5D_min,50881.0,57.67556711587822,19.235919155995752,8.0,27.6,43.100002,56.5,72.1,90.4,100.0
sph_5D_min,50881.0,0.005693849859874807,0.002158997529998007,0.00032,0.00217,0.0041799997,0.00568,0.0071199997,0.00925,0.01433
vs_5D_max,50881.0,4.3751616516970975,1.5918924727999224,0.6,2.4,3.3,4.1,5.1,7.5,15.3
th_5D_max,50881.0,279.64654782728326,52.890444187980165,4.0,182.0,247.0,291.0,321.0,344.0,360.0
srad_5D_max,50881.0,297.8483299966392,70.98906515755714,51.600002,146.6,257.30002,326.0,352.9,367.6,393.5
etr_5D_max,50881.0,9.206615436017374,3.0881393146958342,0.4,4.2,7.1,9.2,11.1,14.5,24.7
fm100_5D_min,50881.0,8.68782846249091,3.365339400418369,1.8,4.4,6.2,7.9,10.6,15.3,28.9
fm1000_5D_min,50881.0,10.628959729565066,3.6800054631874852,2.8,5.9,7.9,10.0,12.9,17.4,33.2
bi_5D_max,50881.0,55.356223344666965,16.97350092715158,0.0,30.0,44.0,54.0,66.0,85.0,143.0
vpd_5D_max,50881.0,2.2451807157878187,1.008241985732978,0.0,0.74,1.48,2.17,2.93,3.96,7.59
erc_5D_max,50881.0,64.12352351565417,18.432845273592218,0.0,32.0,51.0,66.0,78.0,91.0,114.0
NDVI-1day,49695.0,0.3949063286044874,0.2063183911428123,-0.32,0.05,0.25,0.38,0.53,0.77,1.1
CheatGrass,37034.0,218.20802505805477,87.71318346635293,0.0,7.0,255.0,255.0,255.0,255.0,255.0
ExoticAnnualGrass,37034.0,219.57004374358698,84.52188018574462,0.0,14.0,255.0,255.0,255.0,255.0,255.0
Medusahead,37034.0,217.5247610304045,89.33021756499085,0.0,2.0,255.0,255.0,255.0,255.0,255.0
PoaSecunda,37034.0,217.29491818329103,89.8683710419058,0.0,1.0,255.0,255.0,255.0,255.0,255.0
geometry,0.0,,,,,,,,,
source_year,50881.0,2016.8299168648414,1.787799874505039,2014.0,2014.0,2015.0,2017.0,2018.0,2020.0,2020.0
large_fire,50881.0,0.018965822212613746,0.1364055918455329,0.0,0.0,0.0,0.0,0.0,0.0,1.0
