,count,mean,std,min,5%,25%,50%,75%,95%,max
EPLR_PFS,50870.0,0.33424179280518973,0.3044641709324078,0.0,0.02,0.08,0.22,0.55,0.95,0.99
HBF_PFS,50823.0,0.507745902445743,0.25775413849424095,0.0,0.07,0.3,0.52,0.7,0.91,0.99
LLEF_PFS,47875.0,0.41769483028720633,0.2572086658967634,0.0,0.03,0.2,0.42,0.62,0.86,0.99
LIF_PFS,50836.0,0.557054646313636,0.27506656086896947,0.12,0.12,0.32,0.58,0.8,0.94,0.99
LMI_PFS,47917.0,0.5353060500448692,0.2864657956440257,0.0,0.07,0.28,0.56,0.8,0.93,0.99
MHVF_PFS,50592.0,0.6907161211258697,0.19256837490792378,0.0,0.34,0.58,0.7,0.84,0.97,0.99
PM25F_PFS,50875.0,0.5213018181818181,0.35338914423379153,0.01,0.06,0.16,0.45,0.93,0.99,0.99
HSEF,50856.0,0.1654038854805726,0.1375976805862945,0.0,0.03,0.07,0.12,0.22,0.46,0.76
P100_PFS,50841.0,0.5466639129836156,0.25380660047786,0.0,0.11,0.35,0.56,0.76,0.93,0.99
P200_PFS,50841.0,0.5353228693377392,0.2622929337702765,0.0,0.09,0.32,0.56,0.74,0.93,0.99
LPF_PFS,50879.0,0.4163377817960258,0.1973549053444323,0.01,0.1,0.27,0.42,0.56,0.76,0.99
NPL_PFS,50879.0,0.40356021148214394,0.2627899723808889,0.0,0.06,0.2,0.34,0.57,0.9,0.99
RMP_PFS,50879.0,0.3658996835629631,0.3006651363142005,0.0,0.01,0.09,0.31,0.6,0.93,0.99
TSDF_PFS,50879.0,0.3322596749149944,0.27881965617182436,0.0,0.02,0.08,0.27,0.54,0.86,0.97
TPF,50879.0,4881.488865740286,2885.5080483049205,0.0,1341.0,2966.0,4528.0,6180.0,9515.0,38932.0
TF_PFS,46471.0,0.35189946418196294,0.29028507297395184,0.0,0.01,0.11,0.27,0.58,0.9,0.99
UF_PFS,50842.0,0.6250509421344559,0.2787375306701778,0.0,0.11,0.41,0.7,0.87,0.95,0.99
WF_PFS,27323.0,0.42201881198989866,0.29929236273733,0.0,0.01,0.17,0.35,0.68,0.94,0.99
M_WTR,50879.0,0.015133945242634486,0.12208686210209384,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_WKFC,50879.0,0.25014249493897284,0.43309919631766824,0.0,0.0,0.0,0.0,1.0,1.0,1.0
M_CLT,50879.0,0.1763202893138623,0.38109618129016865,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_ENY,50879.0,0.20373828101967412,0.40278056365109,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_TRN,50879.0,0.02621906877100572,0.15978776869460654,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M_HSG,50879.0,0.05957271172782484,0.23669580664911208,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_PLN,50879.0,0.06434874899270819,0.24537557106481833,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M_HLTH,50879.0,0.12234910277324633,0.3276917917172015,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SM_C,50879.0,0.39937891861082175,0.48977557380660824,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SM_PFS,50879.0,0.39937891861082175,0.48977557380660824,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EPLRLI,50879.0,0.015192908665657737,0.12232080064165089,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EALRLI,50879.0,0.09196328544193086,0.2889769556075844,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBLRLI,50879.0,0.12341044438766485,0.3289109801641699,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PM25LI,50879.0,0.1406474183847953,0.3476608946738362,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EBLI,50879.0,0.07399909589418031,0.26177199337506496,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DPMLI,50879.0,0.0057194520332553705,0.07541121716147384,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TPLI,50879.0,0.024194657913874092,0.15365461424683333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LPMHVLI,50879.0,0.0033216061636431532,0.05753814530369977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HBLI,50879.0,0.05847206116472415,0.2346362318323266,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RMPLI,50879.0,0.04487116492069419,0.20702315291370135,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SFLI,50879.0,0.029068967550462864,0.1680015399157588,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HWLI,50879.0,0.0102792900803868,0.10086538671435703,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WDLI,50879.0,0.015133945242634486,0.12208686210209384,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DLI,50879.0,0.031899211855578924,0.1757334888777354,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALI,50879.0,0.032587118457516856,0.17755511198365842,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HDLI,50879.0,0.06568525324790188,0.24773354029325942,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LLELI,50879.0,0.027830735666974585,0.1644892628859753,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LILHSE,50879.0,0.12071778140293637,0.3258022174897621,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PLHSE,50879.0,0.08229328406611765,0.274813725676897,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LMILHSE,50879.0,0.08502525599952829,0.2789220158225806,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ULHSE,50879.0,0.1487254073389807,0.355821091248506,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EPL_ET,50879.0,0.08164468641286189,0.27382531893872375,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EAL_ET,50879.0,0.3413982193046247,0.4741833975022085,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EBL_ET,50879.0,0.41704829104345603,0.49307584857862297,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EB_ET,50879.0,0.10658621435169717,0.30858947633974304,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PM25_ET,50879.0,0.2913186186835433,0.45437444787173026,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DS_ET,50879.0,0.010868924310619312,0.1036870392105217,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TP_ET,50879.0,0.048526897148135774,0.21487890754159872,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LPP_ET,50879.0,0.004579492521472513,0.06751748193474617,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HB_ET,50879.0,0.06267811867371607,0.24238549219764086,0.0,0.0,0.0,0.0,0.0,1.0,1.0
