========================================================================
  California Wildfire Dataset -- Data Overview
========================================================================
  Rows           : 50,881
  Columns        : 310
  Large fires    : 965  (FIRE_SIZE >= 100 acres)
  Small fires    : 49,916  (FIRE_SIZE < 100 acres)
  Years          : [2014, 2015, 2016, 2017, 2018, 2019, 2020]

  Column                                         Dtype           Unique     Nulls    Null%
  IALHE                                          float64              2         2     0.0%
  IAHSEF                                         float64              1    50,881   100.0%
  CA                                             float64             66        25     0.0%
  NCA                                            float64             66        25     0.0%
  CA_LT20                                        float64              3         2     0.0%
  M_CLT_EOMI                                     float64              3         2     0.0%
  M_ENY_EOMI                                     float64              3         2     0.0%
  M_TRN_EOMI                                     float64              3         2     0.0%
  M_HSG_EOMI                                     float64              3         2     0.0%
  M_PLN_EOMI                                     float64              3         2     0.0%
  M_WTR_EOMI                                     float64              3         2     0.0%
  M_HLTH_102                                     float64              3         2     0.0%
  M_WKFC_103                                     float64              3         2     0.0%
  FPL200S                                        float64              3         2     0.0%
  M_WKFC_105                                     float64              3         2     0.0%
  M_EBSI                                         float64              3         2     0.0%
  UI_EXP                                         object               2         2     0.0%
  THRHLD                                         float64              2         2     0.0%
  No_FireStation_1.0km                           float64              5    42,760    84.0%
  No_FireStation_5.0km                           float64             41    12,076    23.7%
  No_FireStation_10.0km                          float64            121     2,434     4.8%
  No_FireStation_20.0km                          float64            390       178     0.3%
  FRG_1km                                        object          24,591         0     0.0%
  FRG                                            float64             10         0     0.0%
  TRI_1km                                        float64         21,986         0     0.0%
  TRI                                            float64          2,394         0     0.0%
  Aspect_1km                                     float64         40,270         0     0.0%
  Elevation_1km                                  float64         45,301         0     0.0%
  Elevation                                      float64          2,878         0     0.0%
  Slope_1km                                      float64         37,993         0     0.0%
  Aspect                                         float64            361         0     0.0%
  Slope                                          float64             56         0     0.0%
  GHM                                            float64            101         0     0.0%
  TPI                                            float64            185         0     0.0%
  TPI_1km                                        float64             70         0     0.0%
  TRACT                                          float64          3,348        44     0.1%
  RPL_THEMES                                     float64          5,598        44     0.1%
  RPL_THEME1                                     float64          5,674        44     0.1%
  EPL_POV                                        float64          1,675        44     0.1%
  EPL_UNEMP                                      float64            868        44     0.1%
