ecoregion_l3,total_cells,fire_cells,fire_pct
11.1.1,159839,12037,7.53
10.2.1,82479,951,1.15
7.1.8,67006,1139,1.7
6.2.12,66473,4681,7.04
11.1.2,60504,5163,8.53
6.2.11,45696,2236,4.89
10.2.2,40761,738,1.81
6.2.8,24498,1066,4.35
6.2.7,19683,1000,5.08
11.1.3,19595,1414,7.22
10.1.5,18845,370,1.96
10.1.3,5112,91,1.78
