Column,Source_System,API_URL,Spatial_Res,Temporal_Res,Update_Frequency,Update_Category,Availability_Label,Missing_%,Missing_Root_Cause,Missing_Treatment,Gate1_Status,Gate2_Status
RPL_THEMES,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,STATIC,PRE_FIRE_STATIC,0.0865,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
SFLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
SM_C,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
STATE,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
Slope,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
TC,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,8.6673,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
THRHLD,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TPF,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TPI,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
TPI_1km,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
TPLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TP_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TRACT,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0865,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TRI,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
TRI_1km,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
TSDF_ET,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
TSDF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
UF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0766,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
UI_EXP,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
ULHSE,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
UN_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
WDLI,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
WD_ET,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
WF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,46.3002,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
bi,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
bi_5D_max,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
bi_5D_mean,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
bi_Normal,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
bi_Percentile,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0865,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
erc,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
